Event_ID,irwinID,Incid_Name,Incid_Type,BurnBndAc,Ig_Date,Ig_Year,Ig_Month,STUSPS
OR4253711866819991021,NA,ANKLE CREEK,Wildfire,13905,1999-10-21,1999,10,OR
OR4251011973219991107,NA,DEGARMO,Wildfire,4343,1999-11-07,1999,11,OR
WA4649712025820000526,NA,CHEYNE RD,Wildfire,1850,2000-05-26,2000,5,WA
OR4343912075220000622,NA,LUG NUT,Wildfire,1481,2000-06-22,2000,6,OR
WA4617912116020000623,NA,RANGE,Wildfire,11520,2000-06-23,2000,6,WA
OR4478212100620000623,NA,SEATTLE FLAT,Wildfire,4364,2000-06-23,2000,6,OR
OR4514412110120000624,NA,HARPHAM,Wildfire,1709,2000-06-24,2000,6,OR
OR4405411724420000625,NA,5TH AVE,Wildfire,2325,2000-06-25,2000,6,OR
WA4645511957720000627,NA,24 COMMAND,Wildfire,162300,2000-06-27,2000,6,WA
WA4728211996620000708,NA,BAIRD,Wildfire,1164,2000-07-08,2000,7,WA
OR4554612037220000709,NA,UNNAMED,Unknown,1194,2000-07-09,2000,7,OR
WA4575312042420000709,NA,UNNAMED,Unknown,1050,2000-07-09,2000,7,WA
OR4241811931120000712,NA,BEATY BUTTE,Wildfire,33687,2000-07-12,2000,7,OR
WA4628212030320000713,NA,STONE GIANT,Wildfire,11520,2000-07-13,2000,7,WA
OR4415511718820000714,NA,JACKSON,Wildfire,80733,2000-07-14,2000,7,OR
OR4487212039320000718,NA,2 HORSE MOUNTAIN,Wildfire,11093,2000-07-18,2000,7,OR
OR4566912001020000722,NA,HORN BUTTE,Wildfire,16581,2000-07-22,2000,7,OR
WA4873111950620000722,NA,UNNAMED,Wildfire,5698,2000-07-22,2000,7,WA
WA4884211935820000722,NA,ROCKY HULL,Wildfire,9927,2000-07-22,2000,7,WA
WA4579512010420000726,NA,MP 141,Wildfire,1069,2000-07-26,2000,7,WA
WA4576512047520000727,NA,GOODNOE,Wildfire,5083,2000-07-27,2000,7,WA
OR4557911932820000802,NA,UNNAMED,Unknown,2514,2000-08-02,2000,8,OR
OR4238511868120000803,NA,ALVORD PEAK,Wildfire,1669,2000-08-03,2000,8,OR
OR4264612012720000803,NA,ABERT,Wildfire,8529,2000-08-03,2000,8,OR
OR4258911749420000803,NA,WHITE MULE,Wildfire,19567,2000-08-03,2000,8,OR
OR4309811874320000804,NA,DIAMOND CRATERS,Wildfire,2062,2000-08-04,2000,8,OR
OR4362711737320000804,NA,KERN,Wildfire,12334,2000-08-04,2000,8,OR
OR4467811995920000804,NA,TAMARACK CREEK,Wildfire,7968,2000-08-04,2000,8,OR
WA4805211883420000806,NA,BUFFALO LAKE,Wildfire,9709,2000-08-06,2000,8,WA
OR4530012051220000810,NA,I878,Wildfire,2710,2000-08-10,2000,8,OR
OR4497911775920000810,NA,MAGPIE PEAK,Wildfire,1507,2000-08-10,2000,8,OR
OR4559811831820000815,NA,MILEPOST 244,Wildfire,4422,2000-08-15,2000,8,OR
WA4596412011120000823,NA,MULE DRY,Wildfire,90184,2000-08-23,2000,8,WA
OR4542212052520000823,NA,HARMONY,Wildfire,3420,2000-08-23,2000,8,OR
OR4536112053520000823,NA,ROSE BRIAR,Wildfire,4160,2000-08-23,2000,8,OR
OR4516212023020000823,NA,SNIPTON CANYON,Wildfire,6418,2000-08-23,2000,8,OR
OR4447912051520000823,NA,HASH ROCK,Wildfire,17163,2000-08-23,2000,8,OR
OR4434611770620000824,NA,RESERVOIR BUTTE,Wildfire,3189,2000-08-24,2000,8,OR
OR4398611750220000824,NA,WILDHORSE SPRING,Wildfire,1810,2000-08-24,2000,8,OR
OR4527311699820000824,NA,CARROL CREEK,Wildfire,3451,2000-08-24,2000,8,OR
OR4569611682820000824,NA,EASTSIDE COMPLEX (THORN),Wildfire,4666,2000-08-24,2000,8,OR
WA4793711960020000915,NA,STORMY PT,Wildfire,1153,2000-09-15,2000,9,WA
OR4397911844320000925,NA,OTIS MTN,Prescribed Fire,1173,2000-09-25,2000,9,OR
OR4364312050020000926,NA,FREDERICK,Prescribed Fire,1276,2000-09-26,2000,9,OR
OR4547611925320000927,NA,UNNAMED,Unknown,27815,2000-09-27,2000,9,OR
OR4568512039620000927,NA,UNNAMED,Unknown,4215,2000-09-27,2000,9,OR
OR4576512006420000927,NA,UNNAMED,Unknown,8392,2000-09-27,2000,9,OR
WA4577012021720000927,NA,UNNAMED,Unknown,2478,2000-09-27,2000,9,WA
WA4585511983320000927,NA,UNNAMED,Unknown,1265,2000-09-27,2000,9,WA
WA4642611857320000927,NA,UNNAMED,Wildfire,7295,2000-09-27,2000,9,WA
OR4246711983220010226,NA,WARNER RX,Prescribed Fire,1265,2001-02-26,2001,2,OR
NV4190511923520010427,NA,TRIANGLE,Unknown,1671,2001-04-27,2001,4,NV
OR4219212101820010430,NA,NORCROSS,Prescribed Fire,1951,2001-04-30,2001,4,OR
OR4504412109220010524,NA,TUNNEL,Wildfire,1775,2001-05-24,2001,5,OR
OR4399311744620010527,NA,BULLY CREEK,Wildfire,1740,2001-05-27,2001,5,OR
OR4385811722120010615,NA,COW HOLLOW,Wildfire,4123,2001-06-15,2001,6,OR
WA4628812044320010619,NA,PUMPHOUSE,Wildfire,3271,2001-06-19,2001,6,WA
OR4330911954120010704,NA,BIG STICK,Wildfire,11138,2001-07-04,2001,7,OR
WA4822012015920010709,NA,LIBBY SOUTH,Wildfire,4842,2001-07-09,2001,7,WA
WA4881712003020010709,NA,THIRTY MILE,Wildfire,9120,2001-07-09,2001,7,WA
WA4798811893420010710,NA,DAM TOWER,Wildfire,3060,2001-07-10,2001,7,WA
OR4478711972120010710,NA,SENTINEL PEAK,Wildfire,3705,2001-07-10,2001,7,OR
OR4536911891720010710,NA,YELLOWJACKET,Wildfire,1232,2001-07-10,2001,7,OR
OR4318111916420010711,NA,HORSE SPRING COMPLEX (DOUBLE OO),Wildfire,1996,2001-07-11,2001,7,OR
OR4538112089420010712,NA,FERRY CANYON,Wildfire,18065,2001-07-12,2001,7,OR
OR4334511796120010712,NA,CROWLEY,Wildfire,3879,2001-07-12,2001,7,OR
OR4480212041120010712,NA,WAGNER MOUNTAIN,Wildfire,7804,2001-07-12,2001,7,OR
OR4555412039020010713,NA,ROCK CREEK,Wildfire,9056,2001-07-13,2001,7,OR
OR4297811774520010727,NA,OWYHEE RIVER,Wildfire,3292,2001-07-27,2001,7,OR
WA4790111996820010728,NA,UNION VALLEY,Wildfire,4355,2001-07-28,2001,7,WA
OR4591611922520010728,NA,TWO RIVERS,Wildfire,3292,2001-07-28,2001,7,OR
WA4604211893720010728,NA,PORT KELLY,Wildfire,9142,2001-07-28,2001,7,WA
OR4229812131920010803,NA,INDIAN SPRINGS,Wildfire,2295,2001-08-03,2001,8,OR
WA4814411960220010808,NA,DAN CANYON,Wildfire,1276,2001-08-08,2001,8,WA
OR4281512007020010808,NA,JUMP,Wildfire,2398,2001-08-08,2001,8,OR
OR4295411972520010808,NA,BIG JUNIPER,Wildfire,95148,2001-08-08,2001,8,OR
OR4262212053120010808,NA,LAKEVIEW COMPLEX (JOHNSON CREEK),Wildfire,3032,2001-08-08,2001,8,OR
OR4211712017420010808,NA,LAKEVIEW COMPLEX (SOUTH WARNER),Wildfire,1688,2001-08-08,2001,8,OR
OR4298911817020010809,NA,SHEEPSHEAD,Wildfire,32971,2001-08-09,2001,8,OR
OR4210112288220010809,NA,QUARTZ,Wildfire,6721,2001-08-09,2001,8,OR
OR4303311761220010809,NA,WEST CRATER,Wildfire,6193,2001-08-09,2001,8,OR
OR4263511759320010809,NA,JACKIES BUTTE,Wildfire,66990,2001-08-09,2001,8,OR
OR4289011762420010809,NA,JORDAN CREEK,Wildfire,2385,2001-08-09,2001,8,OR
OR4283711843020010810,NA,SHEEPSHEAD COMPLEX (STONEHOUSE),Wildfire,9409,2001-08-10,2001,8,OR
OR4319511974720010811,NA,MUSTANG,Wildfire,5658,2001-08-11,2001,8,OR
OR4479012175120010812,NA,DARK LAKE,Wildfire,2724,2001-08-12,2001,8,OR
OR4493111934520010812,NA,MONUMENT COMPLEX (MALLORY),Wildfire,29095,2001-08-12,2001,8,OR
WA4816212046320010812,NA,REX CREEK COMPLEX (REX CREEK),Wildfire,54456,2001-08-12,2001,8,WA
WA4814011936220010813,NA,GOOSE LAKE,Wildfire,1227,2001-08-13,2001,8,WA
WA4825311961220010813,NA,VIRGINIA L,Wildfire,35780,2001-08-13,2001,8,WA
WA4849511909420010813,NA,VIRGINIA LAKE COMPLEX (BAILEY MOUNTAIN),Wildfire,3220,2001-08-13,2001,8,WA
WA4757612078720010813,NA,FOURTH OF JULY,Wildfire,7009,2001-08-13,2001,8,WA
WA4841512096920010813,NA,REX CREEK COMPLEX (GLORY MOUNTAIN),Wildfire,1331,2001-08-13,2001,8,WA
WA4658412110220010813,NA,DOME PEAK,Wildfire,2756,2001-08-13,2001,8,WA
WA4879411848120010813,NA,MT. LEONA COMPLEX,Wildfire,5834,2001-08-13,2001,8,WA
WA4848511847820010813,NA,SLEEPY COMPLEX  (SLEEPY),Wildfire,1363,2001-08-13,2001,8,WA
OR4504111896720010813,NA,BRIDGE CREEK,Wildfire,9176,2001-08-13,2001,8,OR
WA4819711984220010813,NA,UNNAMED,Wildfire,6702,2001-08-13,2001,8,WA
WA4830911934320010814,NA,ST MARYS,Wildfire,34914,2001-08-14,2001,8,WA
OR4474311769720010814,NA,WHITE SWAN,Wildfire,1622,2001-08-14,2001,8,OR
OR4561911679520010814,NA,HORSE CREEK,Wildfire,16132,2001-08-14,2001,8,OR
OR4437911734620010815,NA,CAVANAUGH CREEK,Wildfire,4372,2001-08-15,2001,8,OR
OR4448311726120010815,NA,BAKER COMPLEX (MORGAN MOUNTAIN),Wildfire,3156,2001-08-15,2001,8,OR
OR4458811951920010816,NA,TIMBERBAS3,Prescribed Fire,2044,2001-08-16,2001,8,OR
WA4574212052320010818,NA,GOODNOE HILLS,Wildfire,9487,2001-08-18,2001,8,WA
WA4610612051920010831,NA,HIGH BRIDGE,Wildfire,1487,2001-08-31,2001,8,WA
OR4467112016720010914,NA,SUTTON MT,Prescribed Fire,8741,2001-09-14,2001,9,OR
OR4250011880320010915,NA,V LAKE RX,Prescribed Fire,20833,2001-09-15,2001,9,OR
NV4184611965020010926,NA,ESCARPMENT,Unknown,1071,2001-09-26,2001,9,NV
OR4452911961920011002,NA,PICTURE,Prescribed Fire,1204,2001-10-02,2001,10,OR
OR4285611855720011005,NA,ERIDGEKIGE,Prescribed Fire,10663,2001-10-05,2001,10,OR
OR4202612003620011006,NA,LONG CNYON,Prescribed Fire,2526,2001-10-06,2001,10,OR
OR4292611842620011015,NA,STONEHOUSE,Prescribed Fire,1207,2001-10-15,2001,10,OR
OR4212111805420011018,NA,TROUT SL,Prescribed Fire,1097,2001-10-18,2001,10,OR
OR4481111723420011025,NA,DRY GULCH,Prescribed Fire,1102,2001-10-25,2001,10,OR
OR4494612105820020605,NA,KASKELA,Wildfire,3298,2002-06-05,2002,6,OR
OR4298911791520020626,NA,COYOTE TRAP,Wildfire,2452,2002-06-26,2002,6,OR
OR4277211742820020707,NA,PINTO HORSE,Wildfire,9319,2002-07-07,2002,7,OR
OR4341411833820020709,NA,SLOKUMM,Wildfire,2252,2002-07-09,2002,7,OR
OR4459412148920020709,NA,EYERLY COMPLEX (EYERLY),Wildfire,22358,2002-07-09,2002,7,OR
OR4259112043620020712,NA,TUCKER,Wildfire,1857,2002-07-12,2002,7,OR
OR4301812088720020712,NA,TOOL BOX COMPLEX (TOOL BOX),Wildfire,56342,2002-07-12,2002,7,OR
OR4224812055220020712,NA,GRIZZLY COMPLEX (GRIZZLY),Wildfire,6004,2002-07-12,2002,7,OR
OR4283012081520020712,NA,GRIZZLY COMPLEX (WINTER),Wildfire,33987,2002-07-12,2002,7,OR
OR4428811829120020712,NA,MONUMENT-MALHEUR COMPLEX (MONUMENT),Wildfire,23860,2002-07-12,2002,7,OR
OR4449311849720020712,NA,EASY,Wildfire,6399,2002-07-12,2002,7,OR
OR4427911862420020712,NA,ROBERTS CREEK,Wildfire,14052,2002-07-12,2002,7,OR
WA4628712053820020713,NA,PUMPHOUSE,Wildfire,10762,2002-07-13,2002,7,WA
OR4221112299220020713,NA,SQUIRE PEAK,Wildfire,3129,2002-07-13,2002,7,OR
OR4337611752320020713,NA,LATE,Wildfire,1183,2002-07-13,2002,7,OR
OR4299212116120020713,NA,GRIZZLY COMPLEX (SILVER),Wildfire,24340,2002-07-13,2002,7,OR
OR4433311962820020713,NA,747 COMPLEX (747),Wildfire,16000,2002-07-13,2002,7,OR
OR4277812272720020713,NA,TIMBERED ROCK,Wildfire,26809,2002-07-13,2002,7,OR
OR4311312273420020713,NA,BOULDER,Wildfire,48505,2002-07-13,2002,7,OR
OR4305712257520020713,NA,BUCKEYE,Wildfire,2586,2002-07-13,2002,7,OR
OR4244511790320020714,NA,BASQUE,Wildfire,2792,2002-07-14,2002,7,OR
OR4325211734220020714,NA,MAHOGANY COMPLEX (MAHOGANY MOUNTAIN),Wildfire,8708,2002-07-14,2002,7,OR
OR4310612253920020714,NA,BIG BEND,Wildfire,10572,2002-07-14,2002,7,OR
OR4354011718920020715,NA,MUD DUCK,Wildfire,1111,2002-07-15,2002,7,OR
OR4337011723120020715,NA,MAHOGANY COMPLEX (ATKINS BUTTE),Wildfire,33472,2002-07-15,2002,7,OR
OR4299412270220020715,NA,TILLER COMPLEX (TALLOW),Wildfire,1076,2002-07-15,2002,7,OR
OR4304412264920020715,NA,ACKER,Wildfire,4188,2002-07-15,2002,7,OR
WA4801012018120020715,NA,DEER POINT,Wildfire,41348,2002-07-15,2002,7,WA
OR4417811918320020715,NA,FLAGTAIL,Wildfire,7991,2002-07-15,2002,7,OR
OR4296212264120020719,NA,CROOKED,Wildfire,1685,2002-07-19,2002,7,OR
OR4524012097820020723,NA,WHITE RIVER,Wildfire,28930,2002-07-23,2002,7,OR
OR4438412172820020723,NA,CACHE MOUNTAIN,Wildfire,3945,2002-07-23,2002,7,OR
OR4561511888020020723,NA,BIRCH,Wildfire,7123,2002-07-23,2002,7,OR
OR4558012134320020723,NA,SHELDON RIDGE,Wildfire,11665,2002-07-23,2002,7,OR
WA4878711937120020724,NA,PICKENS,Wildfire,2464,2002-07-24,2002,7,WA
OR4254712152620020724,NA,SKUNK,Wildfire,2031,2002-07-24,2002,7,OR
WA4620911945320020727,NA,WEBRCANYON,Wildfire,1033,2002-07-27,2002,7,WA
WA4785911997820020805,NA,DEER MT,Wildfire,2288,2002-08-05,2002,8,WA
OR4226412263620020813,NA,EAST ANTELOPE,Wildfire,1885,2002-08-13,2002,8,OR
WA4671712081820020814,NA,UNNAMED,Wildfire,2261,2002-08-14,2002,8,WA
OR4328712265220020816,NA,APPLE,Wildfire,19139,2002-08-16,2002,8,OR
WA4889812049420020817,NA,QUARTZ MT. COMPLEX (MIDDLE MOUNTAIN),Wildfire,8173,2002-08-17,2002,8,WA
WA4896412045520020817,NA,QUARTZ MT. COMPLEX (QUARTZ MOUNTAIN),Wildfire,4716,2002-08-17,2002,8,WA
WA4772911790020020817,NA,UNNAMED,Wildfire,2098,2002-08-17,2002,8,WA
WA4625111952420020822,NA,MCBEE,Wildfire,1776,2002-08-22,2002,8,WA
OR4342511813620020828,NA,VISHER CREEK,Wildfire,1106,2002-08-28,2002,8,OR
OR4463412025720020909,NA,PAINTED HI,Wildfire,2013,2002-09-09,2002,9,OR
OR4393812007720020910,NA,S DAGUS,Prescribed Fire,6488,2002-09-10,2002,9,OR
OR4291911842820020911,NA,STONEHOUSE,Prescribed Fire,5498,2002-09-11,2002,9,OR
OR4461812024420020920,NA,SAND MT,Prescribed Fire,1212,2002-09-20,2002,9,OR
OR4290311862120020923,NA,CHIMNEY RX,Prescribed Fire,2183,2002-09-23,2002,9,OR
OR4458011961220020924,NA,QUARTZ MT. COMPLEX (MIDDLE MOUNTAIN),Prescribed Fire,2812,2002-09-24,2002,9,OR
WA4650111992720020929,NA,HWY 24,Wildfire,4606,2002-09-29,2002,9,WA
OR4201212102820021007,NA,BRADY BUTTE,Wildfire,3061,2002-10-07,2002,10,OR
OR4300412165620021008,NA,NORTH MARSH,Unknown,1158,2002-10-08,2002,10,OR
WA4627712041620030606,NA,OAK SPRINGS,Wildfire,1700,2003-06-06,2003,6,WA
OR4583211984020030619,NA,WEST BOUNDRY,Wildfire,1101,2003-06-19,2003,6,OR
WA4651812051920030627,NA,AHTANUM RIDGE,Wildfire,2496,2003-06-27,2003,6,WA
OR4360412179420030628,NA,DAVIS,Wildfire,20683,2003-06-28,2003,6,OR
OR4598411891120030629,NA,BRADEN RANCH,Wildfire,2867,2003-06-29,2003,6,OR
WA4883712016920030630,NA,FAWN PEAK COMPLEX (FAREWELL),Wildfire,77444,2003-06-30,2003,6,WA
WA4896311932420030630,NA,UNNAMED,Wildfire,1697,2003-06-30,2003,6,WA
WA4788011840020030704,NA,RATTLESNAKE CANYON,Wildfire,10655,2003-07-04,2003,7,WA
WA4794511826620030704,NA,PADDLE,Wildfire,1419,2003-07-04,2003,7,WA
OR4437312178220030705,NA,LINK,Wildfire,3460,2003-07-05,2003,7,OR
WA4675812076220030710,NA,UNNAMED,Wildfire,1156,2003-07-10,2003,7,WA
WA4652212098520030711,NA,MIDDLE FORK,Wildfire,1483,2003-07-11,2003,7,WA
OR4399212254720030713,NA,CLARK,Wildfire,4905,2003-07-13,2003,7,OR
WA4636311946520030716,NA,SHOOTING RANGE,Wildfire,1433,2003-07-16,2003,7,WA
WA4810111872420030718,NA,MCGINNIS FLATS,Wildfire,2461,2003-07-18,2003,7,WA
WA4744711768820030720,NA,UNNAMED,Wildfire,1124,2003-07-20,2003,7,WA
OR4392312127420030723,NA,18 FIRE,Wildfire,3971,2003-07-23,2003,7,OR
WA4668612005920030724,NA,UMTANUM RIDGE,Wildfire,34351,2003-07-24,2003,7,WA
WA4757111854020030727,NA,HATTEN ROAD,Wildfire,7247,2003-07-27,2003,7,WA
OR4336112217120030727,NA,KELSAY COMPLEX (KELSAY),Wildfire,1304,2003-07-27,2003,7,OR
WA4864912062420030805,NA,NEEDLES,Wildfire,19134,2003-08-05,2003,8,WA
WA4878912112820030805,NA,BIGBEAVER,Wildland Fire Use,1807,2003-08-05,2003,8,WA
WA4637211885320030806,NA,JUNIPER DUNES,Wildfire,5447,2003-08-06,2003,8,WA
WA4765712108420030808,NA,SQUARE LAKE FIRE,Wildfire,1106,2003-08-08,2003,8,WA
WA4888211767920030810,NA,BLACK CANYON,Wildfire,2403,2003-08-10,2003,8,WA
WA4844512111120030815,NA,MINERAL PARK,Wildfire,3010,2003-08-15,2003,8,WA
WA4896411838920030815,NA,TOGO MOUNTAIN,Wildfire,5495,2003-08-15,2003,8,WA
OR4451112177120030819,NA,BB COMPLEX (BOOTH),Wildfire,91281,2003-08-19,2003,8,OR
OR4333111735220030820,NA,ROOSTER COMB,Wildfire,3837,2003-08-20,2003,8,OR
OR4558511652920030820,NA,LIGHTNING COMPLEX (TWO CORRAL),Wildfire,10731,2003-08-20,2003,8,OR
OR4485211883820030905,NA,BULL SPRINGS 2,Wildfire,1273,2003-09-05,2003,9,OR
WA4802112085920030905,NA,MAPLE,Wildfire,2420,2003-09-05,2003,9,WA
WA4865811989020030907,NA,ISABEL,Wildfire,5753,2003-09-07,2003,9,WA
WA4745612080820030923,NA,CRYSTAL CREEK,Wildfire,1464,2003-09-23,2003,9,WA
OR4210012184920040310,NA,RAT CLUB,Prescribed Fire,1845,2004-03-10,2004,3,OR
OR4249911984420040323,NA,WARNER WETLAND 01,Prescribed Fire,1619,2004-03-23,2004,3,OR
WA4803511872220040409,NA,TOLMAN,Prescribed Fire,1265,2004-04-09,2004,4,WA
OR4271012094620040411,NA,SYCAN,Prescribed Fire,4183,2004-04-11,2004,4,OR
WA4897712095720040624,NA,FREEZEOUT,Wildfire,1155,2004-06-24,2004,6,WA
WA4816111916120040626,NA,HOPKINS CANYON COMPLEX,Wildfire,5206,2004-06-26,2004,6,WA
WA4799112039420040626,NA,POT PEAK-SISI RIDGE COMPLEX,Wildfire,37603,2004-06-26,2004,6,WA
WA4782211993920040704,NA,BEEBE,Wildfire,4490,2004-07-04,2004,7,WA
OR4499212139420040725,NA,LOG SPRINGS,Wildfire,8173,2004-07-25,2004,7,OR
WA4800911890620040729,NA,ELMER CITY,Wildfire,1955,2004-07-29,2004,7,WA
WA4773311801920040802,NA,MILL CANYON,Wildfire,1166,2004-08-02,2004,8,WA
WA4758712052220040808,NA,FISCHER,Wildfire,16197,2004-08-08,2004,8,WA
WA4679612085120040809,NA,MUD LAKE,Wildfire,3772,2004-08-09,2004,8,WA
OR4239112012820040813,NA,GRASSY,Wildfire,4109,2004-08-13,2004,8,OR
OR4294312309320040820,NA,BLAND MOUNTAIN 2,Wildfire,4515,2004-08-20,2004,8,OR
OR4456111966620040905,NA,ROCK CREEK,Prescribed Fire,4210,2004-09-05,2004,9,OR
OR4481012032920040924,NA,RATTLESNAKE (003) UNDERBURN,Prescribed Fire,9276,2004-09-24,2004,9,OR
OR4323111939220040924,NA,WEST WARM SPRINGS (002) BROADCAS,Prescribed Fire,1646,2004-09-24,2004,9,OR
OR4466112168820041018,NA,BIDDLE PASS,Prescribed Fire,3143,2004-10-18,2004,10,OR
WA4796011804320050415,NA,05 HFR RX GROUSE RIDGE BROADCAST,Prescribed Fire,2186,2005-04-15,2005,4,WA
